ID,Company,Title,Location,Salary,Status,URL
"259","Netflix","Account Executive","New York, NY","$75259 - $95259","external","https://careers.netflix.com/jobs/259"
"260","Spotify","Sales Representative","San Francisco, CA","$75260 - $95260","submitted","https://careers.spotify.com/jobs/260"
"261","Uber","Business Development Representative","Seattle, WA","$75261 - $95261","external","https://careers.uber.com/jobs/261"
"262","Lyft","Sales Development Representative","Miami, FL","$75262 - $95262","external","https://careers.lyft.com/jobs/262"
"263","Airbnb","Client Relationship Manager","Phoenix, AZ","$75263 - $95263","external","https://careers.airbnb.com/jobs/263"
"264","Stripe","Customer Success Associate","Portland, OR","$75264 - $95264","external","https://careers.stripe.com/jobs/264"
"265","Square","Enterprise Customer Success Manager","San Diego, CA","$75265 - $95265","submitted","https://careers.square.com/jobs/265"
"266","PayPal","Senior Account Manager","Remote, US","$75266 - $95266","external","https://careers.paypal.com/jobs/266"
"267","Shopify","Strategic Account Manager","Atlanta, GA","$75267 - $95267","external","https://careers.shopify.com/jobs/267"
"268","BigCommerce","Key Account Manager","Austin, TX","$75268 - $95268","external","https://careers.bigcommerce.com/jobs/268"
"269","WooCommerce","National Account Manager","Boston, MA","$75269 - $95269","external","https://careers.woocommerce.com/jobs/269"
"270","Salesforce","Customer Success Manager","Chicago, IL","$75270 - $95270","submitted","https://careers.salesforce.com/jobs/270"
"271","HubSpot","Account Manager","Denver, CO","$75271 - $95271","external","https://careers.hubspot.com/jobs/271"
"272","Zoom","Client Success Manager","Los Angeles, CA","$75272 - $95272","external","https://careers.zoom.com/jobs/272"
"273","Slack","Customer Success Specialist","New York, NY","$75273 - $95273","external","https://careers.slack.com/jobs/273"
"274","Atlassian","Account Executive","San Francisco, CA","$75274 - $95274","external","https://careers.atlassian.com/jobs/274"
"275","Zendesk","Sales Representative","Seattle, WA","$75275 - $95275","submitted","https://careers.zendesk.com/jobs/275"
"276","ServiceNow","Business Development Representative","Miami, FL","$75276 - $95276","external","https://careers.servicenow.com/jobs/276"
"277","Workday","Sales Development Representative","Phoenix, AZ","$75277 - $95277","external","https://careers.workday.com/jobs/277"
"278","Snowflake","Client Relationship Manager","Portland, OR","$75278 - $95278","external","https://careers.snowflake.com/jobs/278"
"279","Datadog","Customer Success Associate","San Diego, CA","$75279 - $95279","external","https://careers.datadog.com/jobs/279"
"280","MongoDB","Enterprise Customer Success Manager","Remote, US","$75280 - $95280","submitted","https://careers.mongodb.com/jobs/280"
"281","Elastic","Senior Account Manager","Atlanta, GA","$75281 - $95281","external","https://careers.elastic.com/jobs/281"
"282","Twilio","Strategic Account Manager","Austin, TX","$75282 - $95282","external","https://careers.twilio.com/jobs/282"
"283","SendGrid","Key Account Manager","Boston, MA","$75283 - $95283","external","https://careers.sendgrid.com/jobs/283"
"284","Mailchimp","National Account Manager","Chicago, IL","$75284 - $95284","external","https://careers.mailchimp.com/jobs/284"
"285","DocuSign","Customer Success Manager","Denver, CO","$75285 - $95285","submitted","https://careers.docusign.com/jobs/285"
"286","Dropbox","Account Manager","Los Angeles, CA","$75286 - $95286","external","https://careers.dropbox.com/jobs/286"
"287","Box","Client Success Manager","New York, NY","$75287 - $95287","external","https://careers.box.com/jobs/287"
"288","Okta","Customer Success Specialist","San Francisco, CA","$75288 - $95288","external","https://careers.okta.com/jobs/288"
"289","Auth0","Account Executive","Seattle, WA","$75289 - $95289","external","https://careers.auth0.com/jobs/289"
"290","Cloudflare","Sales Representative","Miami, FL","$75290 - $95290","submitted","https://careers.cloudflare.com/jobs/290"
"291","Fastly","Business Development Representative","Phoenix, AZ","$75291 - $95291","external","https://careers.fastly.com/jobs/291"
"292","Datadog","Sales Development Representative","Portland, OR","$75292 - $95292","external","https://careers.datadog.com/jobs/292"
"293","New Relic","Client Relationship Manager","San Diego, CA","$75293 - $95293","external","https://careers.newrelic.com/jobs/293"
"294","GitLab","Customer Success Associate","Remote, US","$75294 - $95294","external","https://careers.gitlab.com/jobs/294"
"295","GitHub","Enterprise Customer Success Manager","Atlanta, GA","$75295 - $95295","submitted","https://careers.github.com/jobs/295"
"296","Bitbucket","Senior Account Manager","Austin, TX","$75296 - $95296","external","https://careers.bitbucket.com/jobs/296"
"297","Jira","Strategic Account Manager","Boston, MA","$75297 - $95297","external","https://careers.jira.com/jobs/297"
"298","Confluence","Key Account Manager","Chicago, IL","$75298 - $95298","external","https://careers.confluence.com/jobs/298"
"299","Trello","National Account Manager","Denver, CO","$75299 - $95299","external","https://careers.trello.com/jobs/299"
"300","Asana","Customer Success Manager","Los Angeles, CA","$75300 - $95300","submitted","https://careers.asana.com/jobs/300"
"301","Monday","Account Manager","New York, NY","$75301 - $95301","external","https://careers.monday.com/jobs/301"
"302","Notion","Client Success Manager","San Francisco, CA","$75302 - $95302","external","https://careers.notion.com/jobs/302"
"303","Airtable","Customer Success Specialist","Seattle, WA","$75303 - $95303","external","https://careers.airtable.com/jobs/303"
"304","Figma","Account Executive","Miami, FL","$75304 - $95304","external","https://careers.figma.com/jobs/304"
"305","Miro","Sales Representative","Phoenix, AZ","$75305 - $95305","submitted","https://careers.miro.com/jobs/305"
"306","Canva","Business Development Representative","Portland, OR","$75306 - $95306","external","https://careers.canva.com/jobs/306"
"307","Adobe","Sales Development Representative","San Diego, CA","$75307 - $95307","external","https://careers.adobe.com/jobs/307"
"308","Microsoft","Client Relationship Manager","Remote, US","$75308 - $95308","external","https://careers.microsoft.com/jobs/308"
"309","Google","Customer Success Associate","Atlanta, GA","$75309 - $95309","external","https://careers.google.com/jobs/309"
"310","Amazon","Enterprise Customer Success Manager","Austin, TX","$75310 - $95310","submitted","https://careers.amazon.com/jobs/310"
"311","Meta","Senior Account Manager","Boston, MA","$75311 - $95311","external","https://careers.meta.com/jobs/311"
"312","Apple","Strategic Account Manager","Chicago, IL","$75312 - $95312","external","https://careers.apple.com/jobs/312"
"313","Netflix","Key Account Manager","Denver, CO","$75313 - $95313","external","https://careers.netflix.com/jobs/313"
"314","Spotify","National Account Manager","Los Angeles, CA","$75314 - $95314","external","https://careers.spotify.com/jobs/314"
"315","Uber","Customer Success Manager","New York, NY","$75315 - $95315","submitted","https://careers.uber.com/jobs/315"
"316","Lyft","Account Manager","San Francisco, CA","$75316 - $95316","external","https://careers.lyft.com/jobs/316"
"317","Airbnb","Client Success Manager","Seattle, WA","$75317 - $95317","external","https://careers.airbnb.com/jobs/317"
"318","Stripe","Customer Success Specialist","Miami, FL","$75318 - $95318","external","https://careers.stripe.com/jobs/318"
"319","Square","Account Executive","Phoenix, AZ","$75319 - $95319","external","https://careers.square.com/jobs/319"
"320","PayPal","Sales Representative","Portland, OR","$75320 - $95320","submitted","https://careers.paypal.com/jobs/320"
"321","Shopify","Business Development Representative","San Diego, CA","$75321 - $95321","external","https://careers.shopify.com/jobs/321"
"322","BigCommerce","Sales Development Representative","Remote, US","$75322 - $95322","external","https://careers.bigcommerce.com/jobs/322"
"323","WooCommerce","Client Relationship Manager","Atlanta, GA","$75323 - $95323","external","https://careers.woocommerce.com/jobs/323"
"324","Salesforce","Customer Success Associate","Austin, TX","$75324 - $95324","external","https://careers.salesforce.com/jobs/324"
"325","HubSpot","Enterprise Customer Success Manager","Boston, MA","$75325 - $95325","submitted","https://careers.hubspot.com/jobs/325"
"326","Zoom","Senior Account Manager","Chicago, IL","$75326 - $95326","external","https://careers.zoom.com/jobs/326"
"327","Slack","Strategic Account Manager","Denver, CO","$75327 - $95327","external","https://careers.slack.com/jobs/327"
"328","Atlassian","Key Account Manager","Los Angeles, CA","$75328 - $95328","external","https://careers.atlassian.com/jobs/328"
"329","Zendesk","National Account Manager","New York, NY","$75329 - $95329","external","https://careers.zendesk.com/jobs/329"
"330","ServiceNow","Customer Success Manager","San Francisco, CA","$75330 - $95330","submitted","https://careers.servicenow.com/jobs/330"
"331","Workday","Account Manager","Seattle, WA","$75331 - $95331","external","https://careers.workday.com/jobs/331"
"332","Snowflake","Client Success Manager","Miami, FL","$75332 - $95332","external","https://careers.snowflake.com/jobs/332"
"333","Datadog","Customer Success Specialist","Phoenix, AZ","$75333 - $95333","external","https://careers.datadog.com/jobs/333"
"334","MongoDB","Account Executive","Portland, OR","$75334 - $95334","external","https://careers.mongodb.com/jobs/334"
"335","Elastic","Sales Representative","San Diego, CA","$75335 - $95335","submitted","https://careers.elastic.com/jobs/335"
"336","Twilio","Business Development Representative","Remote, US","$75336 - $95336","external","https://careers.twilio.com/jobs/336"
"337","SendGrid","Sales Development Representative","Atlanta, GA","$75337 - $95337","external","https://careers.sendgrid.com/jobs/337"
"338","Mailchimp","Client Relationship Manager","Austin, TX","$75338 - $95338","external","https://careers.mailchimp.com/jobs/338"
"339","DocuSign","Customer Success Associate","Boston, MA","$75339 - $95339","external","https://careers.docusign.com/jobs/339"
"340","Dropbox","Enterprise Customer Success Manager","Chicago, IL","$75340 - $95340","submitted","https://careers.dropbox.com/jobs/340"
"341","Box","Senior Account Manager","Denver, CO","$75341 - $95341","external","https://careers.box.com/jobs/341"
"342","Okta","Strategic Account Manager","Los Angeles, CA","$75342 - $95342","external","https://careers.okta.com/jobs/342"
"343","Auth0","Key Account Manager","New York, NY","$75343 - $95343","external","https://careers.auth0.com/jobs/343"
"344","Cloudflare","National Account Manager","San Francisco, CA","$75344 - $95344","external","https://careers.cloudflare.com/jobs/344"
"345","Fastly","Customer Success Manager","Seattle, WA","$75345 - $95345","submitted","https://careers.fastly.com/jobs/345"
"346","Datadog","Account Manager","Miami, FL","$75346 - $95346","external","https://careers.datadog.com/jobs/346"
"347","New Relic","Client Success Manager","Phoenix, AZ","$75347 - $95347","external","https://careers.newrelic.com/jobs/347"
"348","GitLab","Customer Success Specialist","Portland, OR","$75348 - $95348","external","https://careers.gitlab.com/jobs/348"
"349","GitHub","Account Executive","San Diego, CA","$75349 - $95349","external","https://careers.github.com/jobs/349"
"350","Bitbucket","Sales Representative","Remote, US","$75350 - $95350","submitted","https://careers.bitbucket.com/jobs/350"
"351","Jira","Business Development Representative","Atlanta, GA","$75351 - $95351","external","https://careers.jira.com/jobs/351"
"352","Confluence","Sales Development Representative","Austin, TX","$75352 - $95352","external","https://careers.confluence.com/jobs/352"
"353","Trello","Client Relationship Manager","Boston, MA","$75353 - $95353","external","https://careers.trello.com/jobs/353"
"354","Asana","Customer Success Associate","Chicago, IL","$75354 - $95354","external","https://careers.asana.com/jobs/354"
"355","Monday","Enterprise Customer Success Manager","Denver, CO","$75355 - $95355","submitted","https://careers.monday.com/jobs/355"
"356","Notion","Senior Account Manager","Los Angeles, CA","$75356 - $95356","external","https://careers.notion.com/jobs/356"
"357","Airtable","Strategic Account Manager","New York, NY","$75357 - $95357","external","https://careers.airtable.com/jobs/357"
"358","Figma","Key Account Manager","San Francisco, CA","$75358 - $95358","external","https://careers.figma.com/jobs/358"
"359","Miro","National Account Manager","Seattle, WA","$75359 - $95359","external","https://careers.miro.com/jobs/359"
"360","Canva","Customer Success Manager","Miami, FL","$75360 - $95360","submitted","https://careers.canva.com/jobs/360"
"361","Adobe","Account Manager","Phoenix, AZ","$75361 - $95361","external","https://careers.adobe.com/jobs/361"
"362","Microsoft","Client Success Manager","Portland, OR","$75362 - $95362","external","https://careers.microsoft.com/jobs/362"
"363","Google","Customer Success Specialist","San Diego, CA","$75363 - $95363","external","https://careers.google.com/jobs/363"
"364","Amazon","Account Executive","Remote, US","$75364 - $95364","external","https://careers.amazon.com/jobs/364"
"365","Meta","Sales Representative","Atlanta, GA","$75365 - $95365","submitted","https://careers.meta.com/jobs/365"
"366","Apple","Business Development Representative","Austin, TX","$75366 - $95366","external","https://careers.apple.com/jobs/366"
"367","Netflix","Sales Development Representative","Boston, MA","$75367 - $95367","external","https://careers.netflix.com/jobs/367"
"368","Spotify","Client Relationship Manager","Chicago, IL","$75368 - $95368","external","https://careers.spotify.com/jobs/368"
"369","Uber","Customer Success Associate","Denver, CO","$75369 - $95369","external","https://careers.uber.com/jobs/369"
"370","Lyft","Enterprise Customer Success Manager","Los Angeles, CA","$75370 - $95370","submitted","https://careers.lyft.com/jobs/370"
"371","Airbnb","Senior Account Manager","New York, NY","$75371 - $95371","external","https://careers.airbnb.com/jobs/371"
"372","Stripe","Strategic Account Manager","San Francisco, CA","$75372 - $95372","external","https://careers.stripe.com/jobs/372"
"373","Square","Key Account Manager","Seattle, WA","$75373 - $95373","external","https://careers.square.com/jobs/373"
"374","PayPal","National Account Manager","Miami, FL","$75374 - $95374","external","https://careers.paypal.com/jobs/374"
"375","Shopify","Customer Success Manager","Phoenix, AZ","$75375 - $95375","submitted","https://careers.shopify.com/jobs/375"
"376","BigCommerce","Account Manager","Portland, OR","$75376 - $95376","external","https://careers.bigcommerce.com/jobs/376"
"377","WooCommerce","Client Success Manager","San Diego, CA","$75377 - $95377","external","https://careers.woocommerce.com/jobs/377"
"378","Salesforce","Customer Success Specialist","Remote, US","$75378 - $95378","external","https://careers.salesforce.com/jobs/378"
"379","HubSpot","Account Executive","Atlanta, GA","$75379 - $95379","external","https://careers.hubspot.com/jobs/379"
"380","Zoom","Sales Representative","Austin, TX","$75380 - $95380","submitted","https://careers.zoom.com/jobs/380"
"381","Slack","Business Development Representative","Boston, MA","$75381 - $95381","external","https://careers.slack.com/jobs/381"
"382","Atlassian","Sales Development Representative","Chicago, IL","$75382 - $95382","external","https://careers.atlassian.com/jobs/382"
"383","Zendesk","Client Relationship Manager","Denver, CO","$75383 - $95383","external","https://careers.zendesk.com/jobs/383"
"384","ServiceNow","Customer Success Associate","Los Angeles, CA","$75384 - $95384","external","https://careers.servicenow.com/jobs/384"
"385","Workday","Enterprise Customer Success Manager","New York, NY","$75385 - $95385","submitted","https://careers.workday.com/jobs/385"
"386","Snowflake","Senior Account Manager","San Francisco, CA","$75386 - $95386","external","https://careers.snowflake.com/jobs/386"
"387","Datadog","Strategic Account Manager","Seattle, WA","$75387 - $95387","external","https://careers.datadog.com/jobs/387"
"388","MongoDB","Key Account Manager","Miami, FL","$75388 - $95388","external","https://careers.mongodb.com/jobs/388"
"389","Elastic","National Account Manager","Phoenix, AZ","$75389 - $95389","external","https://careers.elastic.com/jobs/389"
"390","Twilio","Customer Success Manager","Portland, OR","$75390 - $95390","submitted","https://careers.twilio.com/jobs/390"
"391","SendGrid","Account Manager","San Diego, CA","$75391 - $95391","external","https://careers.sendgrid.com/jobs/391"
"392","Mailchimp","Client Success Manager","Remote, US","$75392 - $95392","external","https://careers.mailchimp.com/jobs/392"
"393","DocuSign","Customer Success Specialist","Atlanta, GA","$75393 - $95393","external","https://careers.docusign.com/jobs/393"
"394","Dropbox","Account Executive","Austin, TX","$75394 - $95394","external","https://careers.dropbox.com/jobs/394"
"395","Box","Sales Representative","Boston, MA","$75395 - $95395","submitted","https://careers.box.com/jobs/395"
"396","Okta","Business Development Representative","Chicago, IL","$75396 - $95396","external","https://careers.okta.com/jobs/396"
"397","Auth0","Sales Development Representative","Denver, CO","$75397 - $95397","external","https://careers.auth0.com/jobs/397"
"398","Cloudflare","Client Relationship Manager","Los Angeles, CA","$75398 - $95398","external","https://careers.cloudflare.com/jobs/398"
"399","Fastly","Customer Success Associate","New York, NY","$75399 - $95399","external","https://careers.fastly.com/jobs/399"
"400","Datadog","Enterprise Customer Success Manager","San Francisco, CA","$75400 - $95400","submitted","https://careers.datadog.com/jobs/400"
"401","New Relic","Senior Account Manager","Seattle, WA","$75401 - $95401","external","https://careers.newrelic.com/jobs/401"
"402","GitLab","Strategic Account Manager","Miami, FL","$75402 - $95402","external","https://careers.gitlab.com/jobs/402"
"403","GitHub","Key Account Manager","Phoenix, AZ","$75403 - $95403","external","https://careers.github.com/jobs/403"
"404","Bitbucket","National Account Manager","Portland, OR","$75404 - $95404","external","https://careers.bitbucket.com/jobs/404"
"405","Jira","Customer Success Manager","San Diego, CA","$75405 - $95405","submitted","https://careers.jira.com/jobs/405"
"406","Confluence","Account Manager","Remote, US","$75406 - $95406","external","https://careers.confluence.com/jobs/406"
"407","Trello","Client Success Manager","Atlanta, GA","$75407 - $95407","external","https://careers.trello.com/jobs/407"
"408","Asana","Customer Success Specialist","Austin, TX","$75408 - $95408","external","https://careers.asana.com/jobs/408"
"409","Monday","Account Executive","Boston, MA","$75409 - $95409","external","https://careers.monday.com/jobs/409"
"410","Notion","Sales Representative","Chicago, IL","$75410 - $95410","submitted","https://careers.notion.com/jobs/410"
"411","Airtable","Business Development Representative","Denver, CO","$75411 - $95411","external","https://careers.airtable.com/jobs/411"
"412","Figma","Sales Development Representative","Los Angeles, CA","$75412 - $95412","external","https://careers.figma.com/jobs/412"
"413","Miro","Client Relationship Manager","New York, NY","$75413 - $95413","external","https://careers.miro.com/jobs/413"
"414","Canva","Customer Success Associate","San Francisco, CA","$75414 - $95414","external","https://careers.canva.com/jobs/414"
"415","Adobe","Enterprise Customer Success Manager","Seattle, WA","$75415 - $95415","submitted","https://careers.adobe.com/jobs/415"
"416","Microsoft","Senior Account Manager","Miami, FL","$75416 - $95416","external","https://careers.microsoft.com/jobs/416"
"417","Google","Strategic Account Manager","Phoenix, AZ","$75417 - $95417","external","https://careers.google.com/jobs/417"
"418","Amazon","Key Account Manager","Portland, OR","$75418 - $95418","external","https://careers.amazon.com/jobs/418"
"419","Meta","National Account Manager","San Diego, CA","$75419 - $95419","external","https://careers.meta.com/jobs/419"
"420","Apple","Customer Success Manager","Remote, US","$75420 - $95420","submitted","https://careers.apple.com/jobs/420"
"421","Netflix","Account Manager","Atlanta, GA","$75421 - $95421","external","https://careers.netflix.com/jobs/421"
"422","Spotify","Client Success Manager","Austin, TX","$75422 - $95422","external","https://careers.spotify.com/jobs/422"
"423","Uber","Customer Success Specialist","Boston, MA","$75423 - $95423","external","https://careers.uber.com/jobs/423"
"424","Lyft","Account Executive","Chicago, IL","$75424 - $95424","external","https://careers.lyft.com/jobs/424"
"425","Airbnb","Sales Representative","Denver, CO","$75425 - $95425","submitted","https://careers.airbnb.com/jobs/425"
"426","Stripe","Business Development Representative","Los Angeles, CA","$75426 - $95426","external","https://careers.stripe.com/jobs/426"
"427","Square","Sales Development Representative","New York, NY","$75427 - $95427","external","https://careers.square.com/jobs/427"
"428","PayPal","Client Relationship Manager","San Francisco, CA","$75428 - $95428","external","https://careers.paypal.com/jobs/428"
"429","Shopify","Customer Success Associate","Seattle, WA","$75429 - $95429","external","https://careers.shopify.com/jobs/429"
"430","BigCommerce","Enterprise Customer Success Manager","Miami, FL","$75430 - $95430","submitted","https://careers.bigcommerce.com/jobs/430"
"431","WooCommerce","Senior Account Manager","Phoenix, AZ","$75431 - $95431","external","https://careers.woocommerce.com/jobs/431"
"432","Salesforce","Strategic Account Manager","Portland, OR","$75432 - $95432","external","https://careers.salesforce.com/jobs/432"
"433","HubSpot","Key Account Manager","San Diego, CA","$75433 - $95433","external","https://careers.hubspot.com/jobs/433"
"434","Zoom","National Account Manager","Remote, US","$75434 - $95434","external","https://careers.zoom.com/jobs/434"
"435","Slack","Customer Success Manager","Atlanta, GA","$75435 - $95435","submitted","https://careers.slack.com/jobs/435"
"436","Atlassian","Account Manager","Austin, TX","$75436 - $95436","external","https://careers.atlassian.com/jobs/436"
"437","Zendesk","Client Success Manager","Boston, MA","$75437 - $95437","external","https://careers.zendesk.com/jobs/437"
"438","ServiceNow","Customer Success Specialist","Chicago, IL","$75438 - $95438","external","https://careers.servicenow.com/jobs/438"
"439","Workday","Account Executive","Denver, CO","$75439 - $95439","external","https://careers.workday.com/jobs/439"
"440","Snowflake","Sales Representative","Los Angeles, CA","$75440 - $95440","submitted","https://careers.snowflake.com/jobs/440"
"441","Datadog","Business Development Representative","New York, NY","$75441 - $95441","external","https://careers.datadog.com/jobs/441"
"442","MongoDB","Sales Development Representative","San Francisco, CA","$75442 - $95442","external","https://careers.mongodb.com/jobs/442"
"443","Elastic","Client Relationship Manager","Seattle, WA","$75443 - $95443","external","https://careers.elastic.com/jobs/443"
"444","Twilio","Customer Success Associate","Miami, FL","$75444 - $95444","external","https://careers.twilio.com/jobs/444"
"445","SendGrid","Enterprise Customer Success Manager","Phoenix, AZ","$75445 - $95445","submitted","https://careers.sendgrid.com/jobs/445"
"446","Mailchimp","Senior Account Manager","Portland, OR","$75446 - $95446","external","https://careers.mailchimp.com/jobs/446"
"447","DocuSign","Strategic Account Manager","San Diego, CA","$75447 - $95447","external","https://careers.docusign.com/jobs/447"
"448","Dropbox","Key Account Manager","Remote, US","$75448 - $95448","external","https://careers.dropbox.com/jobs/448"
"449","Box","National Account Manager","Atlanta, GA","$75449 - $95449","external","https://careers.box.com/jobs/449"
"450","Okta","Customer Success Manager","Austin, TX","$75450 - $95450","submitted","https://careers.okta.com/jobs/450"
"451","Auth0","Account Manager","Boston, MA","$75451 - $95451","external","https://careers.auth0.com/jobs/451"
"452","Cloudflare","Client Success Manager","Chicago, IL","$75452 - $95452","external","https://careers.cloudflare.com/jobs/452"
"453","Fastly","Customer Success Specialist","Denver, CO","$75453 - $95453","external","https://careers.fastly.com/jobs/453"
"454","Datadog","Account Executive","Los Angeles, CA","$75454 - $95454","external","https://careers.datadog.com/jobs/454"
"455","New Relic","Sales Representative","New York, NY","$75455 - $95455","submitted","https://careers.newrelic.com/jobs/455"
"456","GitLab","Business Development Representative","San Francisco, CA","$75456 - $95456","external","https://careers.gitlab.com/jobs/456"
"457","GitHub","Sales Development Representative","Seattle, WA","$75457 - $95457","external","https://careers.github.com/jobs/457"
"458","Bitbucket","Client Relationship Manager","Miami, FL","$75458 - $95458","external","https://careers.bitbucket.com/jobs/458"
"459","Jira","Customer Success Associate","Phoenix, AZ","$75459 - $95459","external","https://careers.jira.com/jobs/459"
"460","Confluence","Enterprise Customer Success Manager","Portland, OR","$75460 - $95460","submitted","https://careers.confluence.com/jobs/460"
"461","Trello","Senior Account Manager","San Diego, CA","$75461 - $95461","external","https://careers.trello.com/jobs/461"
"462","Asana","Strategic Account Manager","Remote, US","$75462 - $95462","external","https://careers.asana.com/jobs/462"
"463","Monday","Key Account Manager","Atlanta, GA","$75463 - $95463","external","https://careers.monday.com/jobs/463"
"464","Notion","National Account Manager","Austin, TX","$75464 - $95464","external","https://careers.notion.com/jobs/464"
"465","Airtable","Customer Success Manager","Boston, MA","$75465 - $95465","submitted","https://careers.airtable.com/jobs/465"
"466","Figma","Account Manager","Chicago, IL","$75466 - $95466","external","https://careers.figma.com/jobs/466"
"467","Miro","Client Success Manager","Denver, CO","$75467 - $95467","external","https://careers.miro.com/jobs/467"
"468","Canva","Customer Success Specialist","Los Angeles, CA","$75468 - $95468","external","https://careers.canva.com/jobs/468"
"469","Adobe","Account Executive","New York, NY","$75469 - $95469","external","https://careers.adobe.com/jobs/469"
"470","Microsoft","Sales Representative","San Francisco, CA","$75470 - $95470","submitted","https://careers.microsoft.com/jobs/470"
"471","Google","Business Development Representative","Seattle, WA","$75471 - $95471","external","https://careers.google.com/jobs/471"
"472","Amazon","Sales Development Representative","Miami, FL","$75472 - $95472","external","https://careers.amazon.com/jobs/472"
"473","Meta","Client Relationship Manager","Phoenix, AZ","$75473 - $95473","external","https://careers.meta.com/jobs/473"
"474","Apple","Customer Success Associate","Portland, OR","$75474 - $95474","external","https://careers.apple.com/jobs/474"
"475","Netflix","Enterprise Customer Success Manager","San Diego, CA","$75475 - $95475","submitted","https://careers.netflix.com/jobs/475"
"476","Spotify","Senior Account Manager","Remote, US","$75476 - $95476","external","https://careers.spotify.com/jobs/476"
"477","Uber","Strategic Account Manager","Atlanta, GA","$75477 - $95477","external","https://careers.uber.com/jobs/477"
"478","Lyft","Key Account Manager","Austin, TX","$75478 - $95478","external","https://careers.lyft.com/jobs/478"
"479","Airbnb","National Account Manager","Boston, MA","$75479 - $95479","external","https://careers.airbnb.com/jobs/479"
"480","Stripe","Customer Success Manager","Chicago, IL","$75480 - $95480","submitted","https://careers.stripe.com/jobs/480"
"481","Square","Account Manager","Denver, CO","$75481 - $95481","external","https://careers.square.com/jobs/481"
"482","PayPal","Client Success Manager","Los Angeles, CA","$75482 - $95482","external","https://careers.paypal.com/jobs/482"
"483","Shopify","Customer Success Specialist","New York, NY","$75483 - $95483","external","https://careers.shopify.com/jobs/483"
"484","BigCommerce","Account Executive","San Francisco, CA","$75484 - $95484","external","https://careers.bigcommerce.com/jobs/484"
"485","WooCommerce","Sales Representative","Seattle, WA","$75485 - $95485","submitted","https://careers.woocommerce.com/jobs/485"
"486","Salesforce","Business Development Representative","Miami, FL","$75486 - $95486","external","https://careers.salesforce.com/jobs/486"
"487","HubSpot","Sales Development Representative","Phoenix, AZ","$75487 - $95487","external","https://careers.hubspot.com/jobs/487"
"488","Zoom","Client Relationship Manager","Portland, OR","$75488 - $95488","external","https://careers.zoom.com/jobs/488"
"489","Slack","Customer Success Associate","San Diego, CA","$75489 - $95489","external","https://careers.slack.com/jobs/489"
"490","Atlassian","Enterprise Customer Success Manager","Remote, US","$75490 - $95490","submitted","https://careers.atlassian.com/jobs/490"
"491","Zendesk","Senior Account Manager","Atlanta, GA","$75491 - $95491","external","https://careers.zendesk.com/jobs/491"
"492","ServiceNow","Strategic Account Manager","Austin, TX","$75492 - $95492","external","https://careers.servicenow.com/jobs/492"
"493","Workday","Key Account Manager","Boston, MA","$75493 - $95493","external","https://careers.workday.com/jobs/493"
"494","Snowflake","National Account Manager","Chicago, IL","$75494 - $95494","external","https://careers.snowflake.com/jobs/494"
"495","Datadog","Customer Success Manager","Denver, CO","$75495 - $95495","submitted","https://careers.datadog.com/jobs/495"
"496","MongoDB","Account Manager","Los Angeles, CA","$75496 - $95496","external","https://careers.mongodb.com/jobs/496"
"497","Elastic","Client Success Manager","New York, NY","$75497 - $95497","external","https://careers.elastic.com/jobs/497"
"498","Twilio","Customer Success Specialist","San Francisco, CA","$75498 - $95498","external","https://careers.twilio.com/jobs/498"
"499","SendGrid","Account Executive","Seattle, WA","$75499 - $95499","external","https://careers.sendgrid.com/jobs/499"
"500","Mailchimp","Sales Representative","Miami, FL","$75500 - $95500","submitted","https://careers.mailchimp.com/jobs/500"
"501","DocuSign","Business Development Representative","Phoenix, AZ","$75501 - $95501","external","https://careers.docusign.com/jobs/501"
"502","Dropbox","Sales Development Representative","Portland, OR","$75502 - $95502","external","https://careers.dropbox.com/jobs/502"
"503","Box","Client Relationship Manager","San Diego, CA","$75503 - $95503","external","https://careers.box.com/jobs/503"
"504","Okta","Customer Success Associate","Remote, US","$75504 - $95504","external","https://careers.okta.com/jobs/504"
"505","Auth0","Enterprise Customer Success Manager","Atlanta, GA","$75505 - $95505","submitted","https://careers.auth0.com/jobs/505"
"506","Cloudflare","Senior Account Manager","Austin, TX","$75506 - $95506","external","https://careers.cloudflare.com/jobs/506"
"507","Fastly","Strategic Account Manager","Boston, MA","$75507 - $95507","external","https://careers.fastly.com/jobs/507"
"508","Datadog","Key Account Manager","Chicago, IL","$75508 - $95508","external","https://careers.datadog.com/jobs/508"
"509","New Relic","National Account Manager","Denver, CO","$75509 - $95509","external","https://careers.newrelic.com/jobs/509"
"510","GitLab","Customer Success Manager","Los Angeles, CA","$75510 - $95510","submitted","https://careers.gitlab.com/jobs/510"
"511","GitHub","Account Manager","New York, NY","$75511 - $95511","external","https://careers.github.com/jobs/511"
"512","Bitbucket","Client Success Manager","San Francisco, CA","$75512 - $95512","external","https://careers.bitbucket.com/jobs/512"
"513","Jira","Customer Success Specialist","Seattle, WA","$75513 - $95513","external","https://careers.jira.com/jobs/513"
"514","Confluence","Account Executive","Miami, FL","$75514 - $95514","external","https://careers.confluence.com/jobs/514"
"515","Trello","Sales Representative","Phoenix, AZ","$75515 - $95515","submitted","https://careers.trello.com/jobs/515"
"516","Asana","Business Development Representative","Portland, OR","$75516 - $95516","external","https://careers.asana.com/jobs/516"
